mapped_dimension,question_id,question_text,request_id,response_type,score
Friction Index,MCB_Q14_INCONSISTENCY,I experienced product inconsistency across repeat purchases of the same brand,P1_CONSISTENCY,Likert,115.0
Friction Index,MCB_Q13_MISMATCH,How much do you agree with this statement? “I was disappointed with my cannabis purchase because the product didn’t meet my expectations,P1_CONSISTENCY,Likert,110.0
Expectation Alignment Index,MCB_Q07_EXPECTED_OUTCOME,How much do you agree with this statement “I usually know what to expect before buying a trying a new product“,P1_CONSISTENCY,Likert,109.0
Experience Quality Index,MCB_Q10_INTENT_MET,"Overall, the product experience matched what you were looking for.",P1_CONSISTENCY,Likert,109.0
Experience Quality Index,MCB_Q11_EXPERIENCE_QUALITY,"Overall, the quality of the experience felt:",P1_CONSISTENCY,Likert,108.0
Recommendation Confidence Index,MCB_Q16_REPEAT,How likely are you to repurchase cannabis products you enjoy?,P1_CONSISTENCY,Likert,107.0
Repeat Purchase Index,CTB_Q12_REPEAT_BRAND_BEHAVIOR,How often do you purchase or recommend products from the same brand more than once?,P1_CONSISTENCY,Single-select,10.0
Experience Quality Index,MCB_Q12_EMOTIONAL_RESIDUE,"After using the product, you felt:",P1_CONSISTENCY,Single choice,9.0
Influence Driver Index,CIB_Q08_FACTORS_INFLUENCE_1_5,"On a scale of 1 to 5, how influential are the following factors to your customers when selecting products?",P1_CONSISTENCY,Grid,5.0
,CIB_Q14_TOP_SHELF_CONTINUATION,"On a scale of 1 to 5, how likely is a customer who has tried a high-quality product going to continue purchasing top shelf?",P1_CONSISTENCY,Single-select,5.0
Experience Expectation Index,CTB_Q23_FIRST_IMPRESSION_FACTORS,"When you try a product for the first time, what matters most in your initial impression?",P1_CONSISTENCY,Multi-select (max 3),5.0
Trial Trigger Index,IMB_Q04_BIGGEST_IMPACT_TRY_NEW,"In your opinion, what has the biggest impact on a customer’s decision to try a new brand or product?",P1_CONSISTENCY,Single-select,5.0
Recommendation Confidence Index,MCB_Q17_RECOMMEND,How likely are you to recommend a product you enjoyed to others?,P2_AWARENESS_GAP,Likert,109.0
Recommendation Confidence Index,MCB_Q18_CONFIDENCE,How much do you agree with this statement? “I usually feel confident knowing who a product would be right for./ recommending a product to someone”,P2_AWARENESS_GAP,Likert,109.0
Recommendation Conversion Index,CIB_Q05_RECOMMENDATION_CONVERSION_10,"Out of every 10 customers you speak to, how many would you say leave the store having purchased your recommendation?",P2_AWARENESS_GAP,Single-select,109.0
Recommendation Influence Index,CTB_Q02_BUDTENDER_INFLUENCE,How much do budtender recommendations influence your final purchase decision?,P2_AWARENESS_GAP,Single-select,108.0
Brand Awareness Index,CTB_Q08_BRAND_FAMILIARITY,How familiar are you with cannabis brands currently available in your province?,P2_AWARENESS_GAP,Single-select,108.0
Brand Weight Index,CTB_Q09_BRAND_INFLUENCE,"When choosing a cannabis product, how much does brand name influence your decision?",P2_AWARENESS_GAP,Single-select,108.0
Loyalty Strength Index,CTB_Q14_BRAND_LOYALTY_LEVEL,How would you describe your overall level of brand loyalty in cannabis?,P2_AWARENESS_GAP,Single-select,102.0
Brand Trust Drivers,CTB_Q10_BRAND_TRUST_FACTORS,Which of the following factors make you trust a cannabis brand?,P2_AWARENESS_GAP,Multi-select (max 3),10.0
