answer,avg_score,brand_name,bta_user_role,cohort_dimension,cohort_value,confidence_tier,created_at,delta_prev_period,index_name,median_score,period_end_date,period_id,question_id,question_text,request_id,response_count,response_option,response_pct,response_total_n,sample_size,segment_type,segment_value,source_table,stddev_score
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely – I like trying something new every time,0.0061,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,23,Always,0.1394,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,13,Always – I stick with brands I know and trust,0.0788,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Never,0.0061,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely,0.0061,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,75,Often – I have a few go-to brands,0.4545,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,82,Often,0.4970,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,48,Occasionally – I mix between familiar and new brands,0.2909,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,16,Occasionally,0.0970,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,3,Never – I don’t pay attention to brand names,0.0182,165,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,21,Occasionally – I mix between familiar and new brands,0.2258,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,48,Often – I have a few go-to brands,0.5161,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,38,Often,0.4086,93,,Province,ON,analytics_gold.mart_response_distributions,
